WARNING: File RAM_Data.txt referenced on C:/Users/pkran/RISC_complete_simu/RISC_complete_simu.srcs/sim_1/new/test_bench_top_level.v at line 23 cannot be opened for reading. Please ensure that this file is available in the current working directory.
WARNING: File RegFile_Data.txt referenced on C:/Users/pkran/RISC_complete_simu/RISC_complete_simu.srcs/sim_1/new/test_bench_top_level.v at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
CLK = 0000000000000000000000000000000000000000000000000000000000000000 RST = 0 PC_out = 1 RAM_Addr =          x RAM_Data =          x RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = x RAM_out = x IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = x RegData = x RegAddr =          x A_Reg =          x B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          x ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = x OF = x BF = x EPC_EN = x CAUSE_EN = x STATE = x x
CLK = 0000000000000000000000000000000000000000000000000000001101101011 RST = 1 PC_out = 1 RAM_Addr =          6 RAM_Data =          6 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          7 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          6 ALU_OUT =          1 NF = 00000000000000000000000000000111 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000001110000100 RST = 0 PC_out = 1 RAM_Addr =          6 RAM_Data =          6 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          7 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          6 ALU_OUT =          1 NF = 00000000000000000000000000000111 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000001110011101 RST = 1 PC_out = 1 RAM_Addr =          7 RAM_Data =          7 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          7 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001110110110 RST = 0 PC_out = 1 RAM_Addr =          7 RAM_Data =          7 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          7 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001111001111 RST = 1 PC_out = 1 RAM_Addr =          7 RAM_Data =          7 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          7 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000001111101000 RST = 0 PC_out = 1 RAM_Addr =          7 RAM_Data =          7 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          7 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135
xsim: Time (s): cpu = 00:00:11 ; elapsed = 00:00:07 . Memory (MB): peak = 910.266 ; gain = 30.902
INFO: [USF-XSim-96] XSim completed. Design snapshot 'test_bench_top_level_behav' loaded.
INFO: [USF-XSim-97] XSim simulation ran for 1000ns
launch_simulation: Time (s): cpu = 00:00:13 ; elapsed = 00:00:29 . Memory (MB): peak = 910.266 ; gain = 39.855
